username,firstname,lastname,email,password,cohort1,course1,role1,course2,role2
demis.hassabis,Demis,Hassabis,demis.hassabis@academy.local,CyberAcademy2026*,cohort_directors,,,,
eleanor.roosevelt,Eleanor,Roosevelt,eleanor.roosevelt@academy.local,CyberAcademy2026*,cohort_admin,,,,
margaret.hamilton,Margaret,Hamilton,margaret.hamilton@academy.local,CyberAcademy2026*,cohort_admin,,,,
yann.lecun,Yann,LeCun,yann.lecun@academy.local,CyberAcademy2026*,cohort_instructors,Linux,editingteacher,ethical_hack,editingteacher
yoshua.bengio,Yoshua,Bengio,yoshua.bengio@academy.local,CyberAcademy2026*,cohort_instructors,AI_intro,editingteacher,machine_learning,editingteacher
geoffrey.hinton,Geoffrey,Hinton,geoffrey.hinton@academy.local,CyberAcademy2026*,cohort_instructors,prompts,editingteacher,machine_learning,editingteacher
dario.amodei,Dario,Amodei,dario.amodei@academy.local,CyberAcademy2026*,cohort_instructors,Linux,editingteacher,ethical_hack,editingteacher
jurgen.schmidhuber,Jurgen,Schmidhuber,jurgen.schmidhuber@academy.local,CyberAcademy2026*,cohort_instructors,AI_tools,editingteacher,machine_learning,editingteacher
audrey.gupta,Audrey,Gupta,audrey.gupta@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,machine_learning,student
lucas.hussain,Lucas,Hussain,lucas.hussain+1@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,AI_tools,student
lillian.lewis,Lillian,Lewis,lillian.lewis+2@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,machine_learning,student
hannah.rogers,Hannah,Rogers,hannah.rogers+3@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,AI_intro,student
nora.joshi,Nora,Joshi,nora.joshi+4@academy.local,CyberAcademy2026*,cohort_ai_students,prompts,student,AI_tools,student
jordan.sharma,Jordan,Sharma,jordan.sharma+5@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,prompts,student
ethan.yasin,Ethan,Yasin,ethan.yasin+6@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,AI_tools,student
lucas.thomas,Lucas,Thomas,lucas.thomas+7@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,AI_tools,student
jacob.chen,Jacob,Chen,jacob.chen+8@academy.local,CyberAcademy2026*,cohort_ai_students,prompts,student,AI_tools,student
emily.lewis,Emily,Lewis,emily.lewis+9@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,prompts,student
olivia.jimenez,Olivia,Jimenez,olivia.jimenez+10@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,AI_intro,student
ava.reyes,Ava,Reyes,ava.reyes+11@academy.local,CyberAcademy2026*,cohort_ai_students,prompts,student,machine_learning,student
oliver.mishra,Oliver,Mishra,oliver.mishra+12@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,machine_learning,student
noah.kumar,Noah,Kumar,noah.kumar+13@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,prompts,student
james.jackson,James,Jackson,james.jackson+14@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,AI_tools,student
joshua.lewis,Joshua,Lewis,joshua.lewis+15@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,AI_tools,student
nicholas.stewart,Nicholas,Stewart,nicholas.stewart+16@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,AI_tools,student
michael.shah,Michael,Shah,michael.shah+17@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,AI_tools,student
zoe.morales,Zoe,Morales,zoe.morales+18@academy.local,CyberAcademy2026*,cohort_ai_students,machine_learning,student,prompts,student
joseph.kapoor,Joseph,Kapoor,joseph.kapoor+19@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,AI_intro,student
sofia.salazar,Sofia,Salazar,sofia.salazar+20@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,machine_learning,student
riley.allen,Riley,Allen,riley.allen+21@academy.local,CyberAcademy2026*,cohort_ai_students,AI_intro,student,machine_learning,student
daniel.allen,Daniel,Allen,daniel.allen+22@academy.local,CyberAcademy2026*,cohort_ai_students,AI_tools,student,prompts,student
mia.taylor,Mia,Taylor,mia.taylor+23@academy.local,CyberAcademy2026*,cohort_ai_students,prompts,student,AI_tools,student
